AMEERA APTS-45640 ALMA AVE;-121961589;49100726;
APPLEWOOD COURT-45744 SPADINA AVE;-121958706;49169674;
ARBOR HOUSE-45770 SPADINA AVE;-121958086;49169459;
ARLINGTON APTS-46002 CLEVELAND AVE;-121952241;49173821;
ASCOTT ESTATES-7455 HURON ST;-121961579;49136517;
ASPEN GROVE-9060 BIRCH ST;-121955465;49165827;
BALMORAL PARK ESTATES-45306 BALMORAL DR;-121970687;49115011;
BEAR CREEK-5666 CEDAR CREEK DR;-121943018;49105568;
BIRCH STREET APTS-9000 BIRCH ST;-121955454;49164965;
BRANDON PLACE-9240 CORBOULD ST;-121963726;49169981;
BRIDGEPORT APTS-8977 EDWARD ST;-121964192;49165387;
CAMELOT APTS-9197 MARY ST;-121960448;49169118;
CARRINGTON COURT-8985 MARY ST;-121962422;49165328;
CASA LINDA-45190 SOUTH SUMAS RD;-121973929;49118239;
CATALINA PLACE-5926 VEDDER RD;-121958012;49109858;
CEDAR COURT -9250 EDWARD ST;-121961395;49170029;
CEDAR COURT -45882 CHEAM AVE;-121954858;49166492;
CEDAR PARK-6449 BLACKWOOD DR;-121961158;49119408;
CHELSEA LANE-45286 WATSON RD;-121971655;49110991;
CHILLIWACK GARDEN APTS -45749 SPADINA AVE;-121958392;49170018;
CLASSIC MANOR-46005 BOLE AVE;-121952235;49173114;
CLOVER CREEK-7600 CHILLIWACK RIVER RD;-121943383;4913984;
COBBLE STONE TERRACE-46778 HUDSON RD;-121930945;49105605;
COLUMBUS MANOR-8980 EDWARD ST;-12196391;49165424;
CORNER STONE APTS-45750 KNIGHT RD;-121957664;49138002;
COTTAGE LANE-45160 SOUTH SUMAS RD;-121974945;49118221;
COTTON RIDGE-45645 KNIGHT RD;-121961266;49138147;
COTTONWOOD MEADOWS RV PARK-44280 LUCKAKUCK WAY;-122000401;49143874;
COTTONWOOD RETIREMENT VILLAGE-7610 EVANS RD;-121975659;49139914;
COUNTRY GROVE-6450 VEDDER RD;-121958477;49118878;
COUNTRY PARK VILLAGE-46070 KNIGHT RD;-121949804;49137237;
COUNTRYSIDE ESTATES-7428 EVANS RD;-121977522;49136521;
COURT LANE APTS-45893 COURT LANE;-121954345;49172051;
CREEKSIDE APTS-7694 EVANS RD;-121977417;49141576;
CREEKSIDE ESTATES-45302 JASPER DR;-121970965;49138533;
DEVONSHIRE-45700 WELLINGTON AVE;-121959994;49173133;
DRIFTWOOD APTS-9474 COOK ST;-121956093;49174293;
EAGLE RIDGE-45729 GAETZ ST;-121958198;49136369;
EDWARD MANOR-9219 EDWARD ST;-121962478;49169692;
EMERALD COURT-7651 AMBER DR;-121968674;49140509;
EMPIRE APT-9232 MAIN ST;-121956305;49769763;
EVERGREEN GARDENS-9280 CORBOULD ST;-121963201;49170677;
FAIRHAVEN APTS-9340 CORBOULD ST;-121962219;49171703;
